z05	b10btot	b10b11	b10b12	b10b21	b10b26	b10b11_p	b10b12_p	b10b21_p	b10b26_p	b16btot	b16b11	b16b12	b16b21	b16b26	b16b11_p	b16b12_p	b16b21_p	b16b26_p
1143	6514	5737	867	5684	965	88.07	13.31	87.26	14.81	7089	6030	1146	5928	1281	85.06	16.17	83.62	18.07
1150	7258	6805	564	6764	644	93.76	7.77	93.19	8.87	7112	6383	846	6328	936	89.75	11.90	88.98	13.16
1151	7273	6677	691	6554	830	91.81	9.50	90.11	11.41	7551	6687	942	6593	1056	88.56	12.48	87.31	13.98
1201	8490	7320	1259	7247	1337	86.22	14.83	85.36	15.75	8763	7488	1365	7340	1523	85.45	15.58	83.76	17.38
1205	5981	5715	348	5653	433	95.55	5.82	94.52	7.24	5771	5427	404	5360	497	94.04	7.00	92.88	8.61
1206	9214	8051	1303	7949	1460	87.38	14.14	86.27	15.85	8925	7450	1612	7358	1750	83.47	18.06	82.44	19.61
1207	6923	6455	606	6355	721	93.24	8.75	91.80	10.41	6941	6330	759	6214	918	91.20	10.94	89.53	13.23
1213	5067	4723	397	4631	511	93.21	7.84	91.40	10.08	5340	4881	529	4755	666	91.40	9.91	89.04	12.47
1301.1	4891	3905	1022	3904	1044	79.84	20.90	79.82	21.35	5470	4231	1277	4183	1323	77.35	23.35	76.47	24.19
1301.2	4426	3882	617	3791	723	87.71	13.94	85.65	16.34	4620	3991	672	3914	770	86.39	14.55	84.72	16.67
1301.3	5108	4681	559	4589	734	91.64	10.94	89.84	14.37	5065	4631	569	4485	759	91.43	11.23	88.55	14.99
1311.1	3476	2927	606	2864	677	84.21	17.43	82.39	19.48	3791	3082	762	2994	865	81.30	20.10	78.98	22.82
1321	4858	3830	1088	3654	1283	78.84	22.40	75.22	26.41	5234	3894	1396	3643	1671	74.40	26.67	69.60	31.93
1322.1	4435	3379	1080	3307	1156	76.19	24.35	74.57	26.07	4535	3345	1212	3179	1380	73.76	26.73	70.10	30.43
1322.2	5299	4090	1255	3941	1404	77.18	23.68	74.37	26.50	5581	4178	1426	3930	1676	74.86	25.55	70.42	30.03
1322.3	5725	4190	1558	4056	1705	73.19	27.21	70.85	29.78	5806	4014	1825	3835	2015	69.14	31.43	66.05	34.71
1323	7038	5590	1503	5158	1945	79.43	21.36	73.29	27.64	7145	5567	1634	4982	2222	77.91	22.87	69.73	31.10
1331.1	6565	5190	1427	5141	1481	79.06	21.74	78.31	22.56	6505	5051	1497	4983	1576	77.65	23.01	76.60	24.23
1331.2	5053	4121	1048	4081	1100	81.56	20.74	80.76	21.77	5233	4150	1189	4057	1285	79.30	22.72	77.53	24.56
1341	6673	5408	1348	5284	1490	81.04	20.20	79.18	22.33	7235	5629	1700	5460	1878	77.80	23.50	75.47	25.96
1342	6230	5251	1083	5223	1145	84.29	17.38	83.84	18.38	6436	5330	1223	5293	1267	82.82	19.00	82.24	19.69
1344	7158	5201	1994	5196	2007	72.66	27.86	72.59	28.04	7836	5532	2341	5502	2368	70.60	29.87	70.21	30.22
1346	8433	6243	2246	6465	2052	74.03	26.63	76.66	24.33	8896	6405	2557	6615	2367	72.00	28.74	74.36	26.61
1347	6193	5126	1148	5121	1193	82.77	18.54	82.69	19.26	6775	5488	1372	5409	1480	81.00	20.25	79.84	21.85
1349	4395	3777	686	3749	746	85.94	15.61	85.30	16.97	4556	3882	774	3815	852	85.21	16.99	83.74	18.70
1362.1	5851	4539	1383	4602	1361	77.58	23.64	78.65	23.26	6461	4835	1678	4891	1656	74.83	25.97	75.70	25.63
1362.2	4863	3612	1287	3768	1131	74.28	26.47	77.48	23.26	4823	3461	1412	3649	1210	71.76	29.28	75.66	25.09
1364.1	5958	4822	1172	4881	1118	80.93	19.67	81.92	18.76	6004	4835	1203	4819	1229	80.53	20.04	80.26	20.47
1367	5542	5201	459	5198	490	93.85	8.28	93.79	8.84	5439	5044	478	5033	515	92.74	8.79	92.54	9.47
1370	7784	7120	871	7049	1001	91.47	11.19	90.56	12.86	8021	7118	1100	7033	1233	88.74	13.71	87.68	15.37
1372.1	4959	3990	1016	4058	953	80.46	20.49	81.83	19.22	5040	4004	1087	4041	1076	79.44	21.57	80.18	21.35
1372.2	3904	3588	401	3542	462	91.91	10.27	90.73	11.83	3856	3512	409	3478	459	91.08	10.61	90.20	11.90
1372.3	5579	4455	1187	4602	1060	79.85	21.28	82.49	19.00	5597	4367	1309	4504	1191	78.02	23.39	80.47	21.28
1373	5158	4783	476	4707	569	92.73	9.23	91.26	11.03	5306	4849	551	4730	695	91.39	10.38	89.14	13.10
1401	5451	4673	847	4603	933	85.73	15.54	84.44	17.12	5756	4859	964	4761	1067	84.42	16.75	82.71	18.54
1402	3954	3080	969	3008	1053	77.90	24.51	76.07	26.63	4067	3031	1139	2940	1237	74.53	28.01	72.29	30.42
1403	5866	5294	730	5244	824	90.25	12.44	89.40	14.05	5756	5165	754	5092	863	89.73	13.10	88.46	14.99
1404	5647	5171	592	5141	636	91.57	10.48	91.04	11.26	6112	5506	724	5451	815	90.09	11.85	89.19	13.33
1406	4905	4259	724	4169	838	86.83	14.76	84.99	17.08	5002	4380	701	4240	864	87.56	14.01	84.77	17.27
1407.1	4951	4091	897	3974	1030	82.63	18.12	80.27	20.80	4939	4015	950	3841	1133	81.29	19.23	77.77	22.94
1407.2	4906	4450	583	4393	669	90.71	11.88	89.54	13.64	4976	4405	691	4287	811	88.52	13.89	86.15	16.30
1501	4560	4065	580	3928	779	89.14	12.72	86.14	17.08	4873	4220	727	4067	920	86.60	14.92	83.46	18.88
1502	5316	4637	726	4485	881	87.23	13.66	84.37	16.57	5357	4523	880	4380	1028	84.43	16.43	81.76	19.19
1505	4121	3680	501	3570	610	89.30	12.16	86.63	14.80	4351	3746	657	3629	770	86.10	15.10	83.41	17.70
1507	5310	4431	932	4186	1192	83.45	17.55	78.83	22.45	5511	4402	1168	4116	1456	79.88	21.19	74.69	26.42
1508	6999	6524	585	6406	761	93.21	8.36	91.53	10.87	7134	6534	756	6365	983	91.59	10.60	89.22	13.78
1509	7893	7039	932	6683	1273	89.18	11.81	84.67	16.13	8212	7029	1258	6714	1573	85.59	15.32	81.76	19.15
1510	6441	5690	872	5384	1210	88.34	13.54	83.59	18.79	6337	5447	992	5151	1325	85.96	15.65	81.28	20.91
1630.1	6017	4748	1337	4698	1415	78.91	22.22	78.08	23.52	6242	4705	1605	4681	1665	75.38	25.71	74.99	26.67
1630.2	5955	4408	1636	4426	1620	74.02	27.47	74.32	27.20	6320	4475	1917	4514	1888	70.81	30.33	71.42	29.87
1630.3	4948	4302	751	4206	910	86.94	15.18	85.00	18.39	5360	4464	1012	4392	1114	83.28	18.88	81.94	20.78
1631.1	5211	4180	1129	4174	1206	80.21	21.67	80.10	23.14	5091	4048	1152	3977	1277	79.51	22.63	78.12	25.08
1631.2	4836	4317	679	4150	915	89.27	14.04	85.81	18.92	4551	3878	851	3721	1073	85.21	18.70	81.76	23.58
1632.1	5918	4442	1531	4403	1569	75.06	25.87	74.40	26.51	6064	4292	1829	4358	1751	70.78	30.16	71.87	28.88
1632.2	6205	4896	1369	4871	1408	78.90	22.06	78.50	22.69	6197	4669	1588	4698	1574	75.34	25.63	75.81	25.40
1701.1	5369	3700	1679	3599	1778	68.91	31.27	67.03	33.12	6219	4166	2057	3950	2275	66.99	33.08	63.52	36.58
1701.2	4391	3397	1011	3280	1125	77.36	23.02	74.70	25.62	4464	3295	1176	3134	1340	73.81	26.34	70.21	30.02
1701.3	6681	4936	1786	4772	1939	73.88	26.73	71.43	29.02	7098	4855	2273	4670	2462	68.40	32.02	65.79	34.69
1701.4	4991	3885	1167	3790	1293	77.84	23.38	75.94	25.91	4875	3711	1210	3544	1409	76.12	24.82	72.70	28.90
1702.1	4985	3755	1239	3612	1386	75.33	24.85	72.46	27.80	5125	3700	1432	3505	1627	72.20	27.94	68.39	31.75
1702.2	4809	3873	962	3612	1221	80.54	20.00	75.11	25.39	4786	3603	1202	3358	1456	75.28	25.11	70.16	30.42
1702.3	4756	3858	956	3684	1141	81.12	20.10	77.46	23.99	4944	3927	1055	3693	1297	79.43	21.34	74.70	26.23
1703	8781	7570	1310	7174	1720	86.21	14.92	81.70	19.59	9047	7522	1643	7086	2072	83.14	18.16	78.32	22.90
1704	6422	5300	1204	5130	1390	82.53	18.75	79.88	21.64	6266	4974	1400	4769	1630	79.38	22.34	76.11	26.01
1706	4982	3910	1152	3753	1338	78.48	23.12	75.33	26.86	5251	3925	1395	3761	1580	74.75	26.57	71.62	30.09
1707.1	4176	3335	890	3213	1034	79.86	21.31	76.94	24.76	4414	3401	1056	3257	1243	77.05	23.92	73.79	28.16
1707.2	4934	3634	1325	3630	1334	73.65	26.85	73.57	27.04	5019	3540	1500	3549	1491	70.53	29.89	70.71	29.71
1708	9071	7151	1962	6850	2260	78.83	21.63	75.52	24.91	9600	7339	2299	6993	2643	76.45	23.95	72.84	27.53
1709	7890	6145	1839	5972	2022	77.88	23.31	75.69	25.63	8291	6247	2124	6062	2309	75.35	25.62	73.12	27.85
1710.1	4646	3335	1363	3166	1546	71.78	29.34	68.14	33.28	4595	3248	1391	3047	1609	70.69	30.27	66.31	35.02
1711.1	5145	3761	1438	3478	1734	73.10	27.95	67.60	33.70	5559	3675	1924	3371	2235	66.11	34.61	60.64	40.21
1711.2	5023	3731	1304	3447	1587	74.28	25.96	68.62	31.59	5375	3702	1685	3389	1991	68.87	31.35	63.05	37.04
1711.3	5344	3643	1709	3396	1956	68.17	31.98	63.55	36.60	5586	3604	1989	3297	2301	64.52	35.61	59.02	41.19
1711.4	4567	2872	1699	2743	1827	62.89	37.20	60.06	40.00	4779	2885	1897	2684	2097	60.37	39.69	56.16	43.88
1711.5	4690	3625	1080	3418	1296	77.29	23.03	72.88	27.63	5501	3840	1674	3638	1878	69.81	30.43	66.13	34.14
2010	5846	5325	761	5147	1046	91.09	13.02	88.04	17.89	6746	5885	1112	5666	1431	87.24	16.48	83.99	21.21
2011	5979	5314	858	5212	1056	88.88	14.35	87.17	17.66	6883	5837	1227	5687	1443	84.80	17.83	82.62	20.96
2013	7080	6020	1252	5893	1476	85.03	17.68	83.23	20.85	8316	6665	1852	6562	2034	80.15	22.27	78.91	24.46
2015	5110	3745	1432	3612	1587	73.29	28.02	70.68	31.06	5616	4024	1670	3851	1860	71.65	29.74	68.57	33.12
2029	6845	6217	856	6130	1069	90.83	12.51	89.55	15.62	7700	6537	1376	6442	1557	84.90	17.87	83.66	20.22
2096	4423	2815	1658	2849	1643	63.64	37.49	64.41	37.15	4823	2822	2040	2866	2013	58.51	42.30	59.42	41.74
2097	4927	4469	592	4346	813	90.70	12.02	88.21	16.50	5614	4860	919	4732	1118	86.57	16.37	84.29	19.91
2113	7045	6526	712	6375	1023	92.63	10.11	90.49	14.52	7301	6443	1080	6368	1303	88.25	14.79	87.22	17.85
2115	6761	6174	815	6042	1111	91.32	12.05	89.37	16.43	7349	6414	1154	6316	1381	87.28	15.70	85.94	18.79
2124	5590	4586	1197	4500	1398	82.04	21.41	80.50	25.01	6188	4774	1603	4671	1800	77.15	25.90	75.48	29.09
2125.1	4323	2919	1433	2902	1453	67.52	33.15	67.13	33.61	5076	2993	2119	3051	2056	58.96	41.75	60.11	40.50
2125.2	4853	3421	1461	3352	1532	70.49	30.11	69.07	31.57	5556	3470	2126	3520	2070	62.46	38.26	63.35	37.26
2125.3	4929	3036	1910	2935	2027	61.59	38.75	59.55	41.12	5632	3221	2438	3249	2414	57.19	43.29	57.69	42.86
2125.4	5964	4442	1610	4404	1661	74.48	27.00	73.84	27.85	6760	4588	2248	4649	2208	67.87	33.25	68.77	32.66
2135	5138	4522	793	4411	982	88.01	15.43	85.85	19.11	5714	4678	1200	4613	1307	81.87	21.00	80.73	22.87
2148	7805	7016	992	6844	1347	89.89	12.71	87.69	17.26	8296	7124	1409	6934	1726	85.87	16.98	83.58	20.81
2149	7507	6834	940	6598	1325	91.04	12.52	87.89	17.65	8239	7189	1300	6934	1721	87.26	15.78	84.16	20.89
2175	4411	3707	783	3592	957	84.04	17.75	81.43	21.70	4962	3805	1248	3684	1391	76.68	25.15	74.24	28.03
2183	5364	4689	820	4492	1016	87.42	15.29	83.74	18.94	5606	4785	938	4496	1245	85.35	16.73	80.20	22.21
2196.11	4976	3676	1314	3407	1581	73.87	26.41	68.47	31.77	5629	3823	1820	3547	2096	67.92	32.33	63.01	37.24
2196.12	4816	3305	1529	3141	1691	68.63	31.75	65.22	35.11	5312	3428	1891	3298	2019	64.53	35.60	62.09	38.01
2196.13	4226	2752	1501	2633	1618	65.12	35.52	62.30	38.29	4789	2895	1905	2798	2010	60.45	39.78	58.43	41.97
2196.14	5198	3440	1776	3139	2071	66.18	34.17	60.39	39.84	5872	3649	2238	3371	2517	62.14	38.11	57.41	42.86
2196.15	5625	3567	2100	3509	2161	63.41	37.33	62.38	38.42	6168	3619	2587	3599	2613	58.67	41.94	58.35	42.36
2196.17	4535	2854	1696	2736	1807	62.93	37.40	60.33	39.85	4997	2760	2247	2761	2241	55.23	44.97	55.25	44.85
2196.19	3931	2713	1236	2547	1394	69.02	31.44	64.79	35.46	4537	2926	1619	2722	1820	64.49	35.68	60.00	40.11
2197	5638	4013	1683	3955	1761	71.18	29.85	70.15	31.23	6059	4003	2100	3929	2190	66.07	34.66	64.85	36.14
2206	7585	5787	1901	5464	2222	76.30	25.06	72.04	29.29	8147	5800	2442	5481	2759	71.19	29.97	67.28	33.87
2220	6949	6315	826	6178	1072	90.88	11.89	88.90	15.43	7285	6402	1079	6241	1361	87.88	14.81	85.67	18.68
2228.1	7146	4728	2462	4504	2684	66.16	34.45	63.03	37.56	7277	4426	2898	4368	2953	60.82	39.82	60.02	40.58
2228.2	5069	3792	1314	3542	1549	74.81	25.92	69.88	30.56	5496	4068	1464	3858	1660	74.02	26.64	70.20	30.20
2233	6715	5992	860	5877	1059	89.23	12.81	87.52	15.77	7165	6156	1128	6069	1310	85.92	15.74	84.70	18.28
2234	6644	5907	890	5728	1123	88.91	13.40	86.21	16.90	7543	6416	1313	6247	1522	85.06	17.41	82.82	20.18
2254	4809	3281	1613	3410	1528	68.23	33.54	70.91	31.77	5608	3492	2192	3671	2055	62.27	39.09	65.46	36.64
2259	4418	3956	566	3884	687	89.54	12.81	87.91	15.55	4659	4133	655	4004	821	88.71	14.06	85.94	17.62
2262	6704	5996	861	5834	1088	89.44	12.84	87.02	16.23	7061	6213	1035	5994	1301	87.99	14.66	84.89	18.43
2265	5007	4063	995	4022	1065	81.15	19.87	80.33	21.27	5184	3946	1305	3959	1314	76.12	25.17	76.37	25.35
2275	6380	5159	1298	4942	1529	80.86	20.34	77.46	23.97	6629	5170	1551	4979	1756	77.99	23.40	75.11	26.49
2280	5021	4278	859	4195	1031	85.20	17.11	83.55	20.53	5377	4462	1055	4324	1266	82.98	19.62	80.42	23.54
2293	7473	6708	881	6476	1191	89.76	11.79	86.66	15.94	7875	6850	1157	6607	1454	86.98	14.69	83.90	18.46
2294	6741	6488	394	6373	604	96.25	5.84	94.54	8.96	6977	6527	624	6388	846	93.55	8.94	91.56	12.13
2299	5306	5016	419	4934	583	94.53	7.90	92.99	10.99	5292	4899	549	4840	681	92.57	10.37	91.46	12.87
2305	7651	6983	799	6817	1014	91.27	10.44	89.10	13.25	8000	7133	985	6918	1267	89.16	12.31	86.48	15.84
2306	8137	7646	653	7498	882	93.97	8.03	92.15	10.84	8701	7938	951	7755	1214	91.23	10.93	89.13	13.95
2309	7774	6750	1164	6620	1365	86.83	14.97	85.16	17.56	7783	6587	1352	6428	1554	84.63	17.37	82.59	19.97
2321	6216	5299	1057	5123	1324	85.25	17.00	82.42	21.30	6754	5633	1292	5396	1570	83.40	19.13	79.89	23.25
2325	5782	4415	1489	4399	1545	76.36	25.75	76.08	26.72	6425	4679	1866	4629	1953	72.82	29.04	72.05	30.40
2336	4311	3927	529	3865	646	91.09	12.27	89.65	14.98	4631	4103	687	4007	823	88.60	14.83	86.53	17.77
2401	5043	3826	1277	3929	1217	75.87	25.32	77.91	24.13	5571	4035	1598	4063	1580	72.43	28.68	72.93	28.36
2402	4848	4361	580	4278	711	89.95	11.96	88.24	14.67	5307	4632	759	4558	877	87.28	14.30	85.89	16.53
2407	5142	3755	1454	3920	1292	73.03	28.28	76.23	25.13	5646	3828	1883	3941	1775	67.80	33.35	69.80	31.44
2408	4615	4293	434	4258	506	93.02	9.40	92.26	10.96	4934	4471	595	4393	702	90.62	12.06	89.04	14.23
2422	5762	4022	1828	4240	1634	69.80	31.73	73.59	28.36	6000	4081	1999	4269	1831	68.02	33.32	71.15	30.52
2426	5345	4968	513	4891	656	92.95	9.60	91.51	12.27	5295	4795	635	4711	781	90.56	11.99	88.97	14.75
2428	6497	5902	734	5813	930	90.84	11.30	89.47	14.31	6593	5811	931	5676	1151	88.14	14.12	86.09	17.46
2457	5093	4932	293	4829	498	96.84	5.75	94.82	9.78	5186	4902	450	4795	619	94.52	8.68	92.46	11.94
2473	6699	5158	1585	4787	1952	77.00	23.66	71.46	29.14	7059	5342	1763	4921	2176	75.68	24.98	69.71	30.83
2476	5640	4842	902	4602	1144	85.85	15.99	81.60	20.28	5827	4836	1090	4567	1367	82.99	18.71	78.38	23.46
2480	5536	4998	698	4834	931	90.28	12.61	87.32	16.82	5714	5004	868	4782	1128	87.57	15.19	83.69	19.74
2493	5459	4901	679	4776	824	89.78	12.44	87.49	15.09	5715	4995	827	4869	986	87.40	14.47	85.20	17.25
2495	5760	4312	1513	4490	1361	74.86	26.27	77.95	23.63	5892	4238	1718	4374	1614	71.93	29.16	74.24	27.39
2500	6815	4685	2196	4917	2006	68.75	32.22	72.15	29.44	6971	4643	2400	4781	2298	66.60	34.43	68.58	32.97
2503	5349	4731	753	4591	937	88.45	14.08	85.83	17.52	5624	4859	871	4685	1101	86.40	15.49	83.30	19.58
2513	8639	6788	1974	6881	1932	78.57	22.85	79.65	22.36	8973	6823	2259	6875	2246	76.04	25.18	76.62	25.03
2517	6035	4339	1755	4605	1500	71.90	29.08	76.30	24.86	6393	4438	2001	4581	1844	69.42	31.30	71.66	28.84
2519	7523	5473	2148	5777	1861	72.75	28.55	76.79	24.74	7987	5802	2284	5911	2185	72.64	28.60	74.01	27.36
2526	5105	4723	511	4588	723	92.52	10.01	89.87	14.16	5363	4903	592	4763	802	91.42	11.04	88.81	14.95
2527	8230	7053	1315	7064	1328	85.70	15.98	85.83	16.14	8617	7223	1542	7176	1606	83.82	17.89	83.28	18.64
2529	6997	6615	526	6451	778	94.54	7.52	92.20	11.12	7356	6820	719	6646	972	92.71	9.77	90.35	13.21
2534	8226	4807	3453	5407	2860	58.44	41.98	65.73	34.77	8394	4791	3629	5337	3100	57.08	43.23	63.58	36.93
2542	5050	3765	1346	3882	1247	74.55	26.65	76.87	24.69	5216	3829	1454	3859	1426	73.41	27.88	73.98	27.34
2543	7924	6716	1346	6715	1383	84.76	16.99	84.74	17.45	8102	6780	1448	6702	1561	83.68	17.87	82.72	19.27
2546.1	6291	4191	2150	4414	1937	66.62	34.18	70.16	30.79	6780	4172	2652	4400	2420	61.53	39.12	64.90	35.69
2546.2	5166	3483	1728	3706	1513	67.42	33.45	71.74	29.29	5412	3439	2020	3673	1788	63.54	37.32	67.87	33.04
2546.3	4202	3308	936	3334	919	78.72	22.28	79.34	21.87	4406	3319	1131	3320	1120	75.33	25.67	75.35	25.42
2550	6561	5910	765	5712	1025	90.08	11.66	87.06	15.62	6701	5999	818	5743	1115	89.52	12.21	85.70	16.64
2554	7447	6911	721	6635	1084	92.80	9.68	89.10	14.56	7716	7026	920	6743	1248	91.06	11.92	87.39	16.17
2572	6068	5169	1019	5164	1071	85.18	16.79	85.10	17.65	6233	5053	1304	5098	1303	81.07	20.92	81.79	20.90
2573	6465	4389	2141	4788	1782	67.89	33.12	74.06	27.56	6709	4415	2360	4719	2086	65.81	35.18	70.34	31.09
2579	4521	3662	940	3637	988	81.00	20.79	80.45	21.85	4791	3747	1127	3681	1196	78.21	23.52	76.83	24.96
2580	5337	4602	806	4566	887	86.23	15.10	85.55	16.62	5657	4709	1041	4598	1165	83.24	18.40	81.28	20.59
2581.1	7110	5666	1496	5481	1668	79.69	21.04	77.09	23.46	7122	5565	1591	5373	1779	78.14	22.34	75.44	24.98
2581.2	4189	2652	1553	2784	1432	63.31	37.07	66.46	34.18	4193	2645	1566	2711	1499	63.08	37.35	64.66	35.75
2581.3	5405	3711	1699	3832	1580	68.66	31.43	70.90	29.23	5500	3651	1854	3722	1787	66.38	33.71	67.67	32.49
2583	4927	3118	1856	3369	1613	63.28	37.67	68.38	32.74	5155	3227	1975	3403	1803	62.60	38.31	66.01	34.98
2586	5729	4623	1194	4465	1360	80.69	20.84	77.94	23.74	5923	4639	1369	4487	1521	78.32	23.11	75.76	25.68
2601.1	4728	3868	892	3784	973	81.81	18.87	80.03	20.58	4762	3881	919	3765	1031	81.50	19.30	79.06	21.65
2601.2	6658	4620	2079	4706	1995	69.39	31.23	70.68	29.96	6700	4616	2124	4637	2098	68.90	31.70	69.21	31.31
2601.3	4536	4135	483	3936	686	91.16	10.65	86.77	15.12	4725	4242	569	4009	795	89.78	12.04	84.85	16.83
2613	8205	7087	1290	6933	1539	86.37	15.72	84.50	18.76	8510	7171	1518	6901	1873	84.27	17.84	81.09	22.01
2619	4878	4520	500	4292	792	92.66	10.25	87.99	16.24	4823	4354	607	4125	885	90.28	12.59	85.53	18.35
2701.01	5920	4271	1662	3820	2116	72.15	28.07	64.53	35.74	6478	4333	2153	3864	2630	66.89	33.24	59.65	40.60
2701.031	5169	3730	1442	3234	1938	72.16	27.90	62.57	37.49	5261	3480	1782	3015	2246	66.15	33.87	57.31	42.69
2701.032	5308	3436	1873	3087	2224	64.73	35.29	58.16	41.90	5546	3367	2180	3037	2511	60.71	39.31	54.76	45.28
2701.041	4282	2983	1302	2666	1618	69.66	30.41	62.26	37.79	4380	2904	1478	2589	1790	66.30	33.74	59.11	40.87
2701.042	5054	3627	1433	3190	1868	71.76	28.35	63.12	36.96	5193	3543	1653	3099	2095	68.23	31.83	59.68	40.34
2701.051	6112	4394	1728	3831	2294	71.89	28.27	62.68	37.53	6208	4086	2129	3578	2638	65.82	34.29	57.64	42.49
2701.052	5278	3689	1601	3300	1992	69.89	30.33	62.52	37.74	5456	3630	1841	3215	2254	66.53	33.74	58.93	41.31
2701.061	4263	2626	1637	2325	1938	61.60	38.40	54.54	45.46	4583	2762	1822	2477	2106	60.27	39.76	54.05	45.95
2701.062	4191	2430	1767	2222	1976	57.98	42.16	53.02	47.15	4354	2517	1842	2295	2062	57.81	42.31	52.71	47.36
2701.063	4632	2763	1869	2619	2013	59.65	40.35	56.54	43.46	4626	2768	1858	2632	1994	59.84	40.16	56.90	43.10
2701.07	11082	8546	2591	7682	3417	77.12	23.38	69.32	30.83	11380	8359	3058	7540	3863	73.45	26.87	66.26	33.95
2701.081	7398	5800	1605	5163	2237	78.40	21.70	69.79	30.24	7660	5820	1846	5128	2539	75.98	24.10	66.95	33.15
2701.082	5864	4895	973	4451	1416	83.48	16.59	75.90	24.15	6012	4857	1159	4402	1612	80.79	19.28	73.22	26.81
2701.09	6482	4785	1701	4306	2177	73.82	26.24	66.43	33.59	6600	4713	1891	4219	2384	71.41	28.65	63.92	36.12
2701.101	6012	3766	2246	3416	2596	62.64	37.36	56.82	43.18	6122	3703	2419	3330	2791	60.49	39.51	54.39	45.59
2701.102	4681	3216	1467	2888	1793	68.70	31.34	61.70	38.30	5015	3214	1801	2923	2092	64.09	35.91	58.29	41.71
2701.103	4593	3088	1509	2830	1767	67.23	32.85	61.62	38.47	4872	3021	1855	2823	2056	62.01	38.07	57.94	42.20
2701.111	6490	3820	2670	3487	3003	58.86	41.14	53.73	46.27	6677	3813	2864	3442	3235	57.11	42.89	51.55	48.45
2701.112	5470	3242	2232	3134	2339	59.27	40.80	57.29	42.76	5360	3086	2280	2940	2425	57.57	42.54	54.85	45.24
2701.113	3386	1634	1752	1594	1794	48.26	51.74	47.08	52.98	3700	1750	1951	1704	1999	47.30	52.73	46.05	54.03
2701.12	7940	4580	3366	4195	3754	57.68	42.39	52.83	47.28	8266	4566	3701	4138	4132	55.24	44.77	50.06	49.99
2701.14	7832	5108	2730	4722	3122	65.22	34.86	60.29	39.86	8189	5038	3161	4626	3567	61.52	38.60	56.49	43.56
2701.151	5409	4591	825	4217	1201	84.88	15.25	77.96	22.20	5442	4469	980	4098	1355	82.12	18.01	75.30	24.90
2701.152	5557	3418	2147	3097	2471	61.51	38.64	55.73	44.47	6807	3705	3109	3429	3382	54.43	45.67	50.37	49.68
2701.171	4609	2604	2006	2339	2270	56.50	43.52	50.75	49.25	4750	2599	2151	2325	2425	54.72	45.28	48.95	51.05
2701.172	4745	2193	2552	2171	2574	46.22	53.78	45.75	54.25	4765	2272	2493	2247	2518	47.68	52.32	47.16	52.84
2701.173	4195	1885	2311	1853	2342	44.93	55.09	44.17	55.83	4327	1907	2420	1941	2386	44.07	55.93	44.86	55.14
2701.18	4572	2229	2345	2304	2270	48.75	51.29	50.39	49.65	4521	2095	2426	2162	2360	46.34	53.66	47.82	52.20
2701.19	4080	2376	1712	2203	1881	58.24	41.96	54.00	46.10	4399	2414	1989	2269	2133	54.88	45.21	51.58	48.49
2703.1	5138	3799	1360	3346	1817	73.94	26.47	65.12	35.36	5113	3535	1596	3147	1987	69.14	31.21	61.55	38.86
2703.2	4932	3906	1056	3438	1526	79.20	21.41	69.71	30.94	4983	3760	1251	3282	1726	75.46	25.11	65.86	34.64
2703.3	5983	4945	1046	4459	1535	82.65	17.48	74.53	25.66	6058	4714	1354	4289	1777	77.81	22.35	70.80	29.33
2703.4	5590	4529	1120	4000	1640	81.02	20.04	71.56	29.34	5699	4345	1405	3855	1881	76.24	24.65	67.64	33.01
2761.1	6201	4773	1462	4623	1603	76.97	23.58	74.55	25.85	6109	4616	1524	4446	1688	75.56	24.95	72.78	27.63
2761.2	6333	5195	1184	4944	1447	82.03	18.70	78.07	22.85	6493	5191	1353	4879	1667	79.95	20.84	75.14	25.67
2762.1	5488	4399	1140	4059	1470	80.16	20.77	73.96	26.79	5829	4420	1458	4148	1717	75.83	25.01	71.16	29.46
2762.2	4000	3085	928	2897	1118	77.13	23.20	72.43	27.95	4168	2993	1185	2855	1321	71.81	28.43	68.50	31.69
2762.3	5087	3839	1258	3565	1530	75.47	24.73	70.08	30.08	5168	3682	1487	3423	1748	71.25	28.77	66.23	33.82
2762.4	4312	3524	792	3249	1068	81.73	18.37	75.35	24.77	4527	3477	1054	3237	1292	76.81	23.28	71.50	28.54
2763	8717	7041	1739	6480	2296	80.77	19.95	74.34	26.34	8879	7009	1928	6400	2541	78.94	21.71	72.08	28.62
2764	4441	3963	552	3686	838	89.24	12.43	83.00	18.87	4601	4012	670	3716	962	87.20	14.56	80.77	20.91
2765.1	6578	4793	1798	4320	2261	72.86	27.33	65.67	34.37	7018	4969	2055	4552	2475	70.80	29.28	64.86	35.27
2765.2	5131	3964	1184	3566	1582	77.26	23.08	69.50	30.83	5205	3801	1416	3430	1786	73.03	27.20	65.90	34.31
2765.3	5101	4350	820	3889	1249	85.28	16.08	76.24	24.49	5354	4358	1059	3889	1495	81.40	19.78	72.64	27.92
2766.1	5341	3909	1438	3669	1675	73.19	26.92	68.70	31.36	5342	3700	1643	3461	1889	69.26	30.76	64.79	35.36
2766.2	4737	3667	1072	3346	1395	77.41	22.63	70.64	29.45	4727	3481	1250	3209	1526	73.64	26.44	67.89	32.28
2767	6504	5188	1368	4698	1848	79.77	21.03	72.23	28.41	6899	5160	1784	4672	2257	74.79	25.86	67.72	32.71
