Z05_RES	NAME	typologie_ofs	typologie_binaire	PFNONE	PFOBL	PFGEN	PFPROF	PFMAT	PFPRSF	PFPRSS	PFBAC	PFMAS	PFPHD	PFS	PFPRES	ADO	ADUNE	NADFM	NADHO	NADRET	NADINV	NADOTH	ADM	ADF	AD3PRIM	AD3SEC	AD3TERT	ADD1AGR	ADD2EXT	ADD2BAS	ADD2HEA	ADD2LIT	ADD2IS	ADD2CST	ADD3TRD	ADD3TRS	ADD3ACC	ADD3IT	ADD3FIN	ADD3RE	ADD3PRO	ADD3SUP	ADD3ADM	ADD3EDU	ADD3HC	ADD3SOC	ADD3REC
561	Kandertal-Adelboden	Espace hors influence des centres urbains	N	0.024665392	0.193881453	0.071510516	0.426386233	0.047036329	0.059273423	0.012237094	0.007648184	0.017973231	0.00458891	0.103824092	0.030975143	0.991949597	0.008050403	0.067903395	0.08960448	0.401820091	0.019250963	0.010850543	0.589779489	0.410220511	0.085216013	0.25247721	0.662306778	0.085216013	0.002774475	0.027348395	0.01228696	0.055489497	0.009116132	0.145461752	0.121284185	0.081648831	0.171224732	0.022195799	0.03686088	0.003170828	0.036068173	0.025366627	0.04359889	0.008719778	0.036464526	0.03131193	0.015457788
562	Aeschi-Reichenbach	Espace hors influence des centres urbains	N	0.020178799	0.138697318	0.066538953	0.429885057	0.05146871	0.066794381	0.025925926	0.014431673	0.020178799	0.008173691	0.102298851	0.055427842	0.975230007	0.024769993	0.058032555	0.077612644	0.386175985	0.021939137	0.021467327	0.51356452	0.48643548	0.06472847	0.238069117	0.697202414	0.06472847	0.004114098	0.04141525	0.012890839	0.089687329	0.008776742	0.08118486	0.128085573	0.041140976	0.073505211	0.026055952	0.037849698	0.009051015	0.052934723	0.027701591	0.039769611	0.06472847	0.06993966	0.09325288	0.010422381
563	Frutigen	Espace hors influence des centres urbains	N	0.022357074	0.18332801	0.066592143	0.39348451	0.055732993	0.066751836	0.014212712	0.011338231	0.0193229	0.002395401	0.116895561	0.04758863	0.981659389	0.018340611	0.057641921	0.131004367	0.309752547	0.014847162	0.01426492	0.527510917	0.472489083	0.074942225	0.321888412	0.603169363	0.074942225	0	0.029382635	0.021789369	0.13634863	0.008253549	0.126114229	0.1313965	0.020798944	0.053152856	0.012545395	0.028392209	0.010894685	0.05051172	0.028392209	0.044239023	0.035655332	0.059095411	0.077913503	0.012215253
573	Brienzersee	Espace hors influence des centres urbains	N	0.023830993	0.126497488	0.087595002	0.432049465	0.063892825	0.072652325	0.011078191	0.024732706	0.021383486	0.005152647	0.085791575	0.045343295	0.978834775	0.021165225	0.068730086	0.073054165	0.358670915	0.025034137	0.015020482	0.536868457	0.463131543	0.034715026	0.22642487	0.738860104	0.034715026	0.001813472	0.030051813	0.004404145	0.050518135	0.012435233	0.127202073	0.145336788	0.049740933	0.082124352	0.012176166	0.036528497	0.006217617	0.053108808	0.029015544	0.034455959	0.07357513	0.069689119	0.080569948	0.027979275
576	Grindelwald	Espace hors influence des centres urbains	N	0.020543406	0.192622046	0.089021427	0.417715927	0.036006185	0.066048156	0.026065827	0.012812017	0.012370223	0.005743318	0.079081069	0.0419704	0.98054755	0.01945245	0.044668588	0.052233429	0.319524496	0.015850144	0.009005764	0.547190202	0.452809798	0.02451982	0.144666939	0.830813241	0.02451982	0.009399264	0.009807928	0.006129955	0.025745811	0.006129955	0.087454025	0.120964446	0.093992644	0.335104209	0.006538619	0.033101757	0.006129955	0.073968124	0.021659174	0.026154475	0.033101757	0.022885166	0.035145076	0.006129955
581	Interlaken	Espace des centres urbains	U	0.027598356	0.157369348	0.087101194	0.403405755	0.05637111	0.078880407	0.017811705	0.03307888	0.02720689	0.009199452	0.074965747	0.027011157	0.970843672	0.029156328	0.039702233	0.047456576	0.302109181	0.015198511	0.031327543	0.532568238	0.467431762	0.008167614	0.163707386	0.828125	0.008167614	0.003196023	0.016690341	0.005681818	0.037642045	0.005681818	0.094815341	0.135653409	0.018465909	0.225142045	0.0234375	0.034446023	0.002485795	0.093394886	0.041903409	0.032670455	0.0390625	0.057528409	0.055397727	0.022372159
584	Lauterbrunnen	Espace hors influence des centres urbains	N	0.013310185	0.167631173	0.07658179	0.425347222	0.053240741	0.069830247	0.015625	0.014853395	0.009259259	0.004436728	0.101851852	0.048032407	0.980494148	0.019505852	0.052340702	0.053315995	0.298439532	0.008777633	0.018205462	0.540637191	0.459362809	0.037610619	0.183259587	0.779129794	0.037610619	0	0.018067847	0.008849558	0.033554572	0.025811209	0.096976401	0.102138643	0.119100295	0.168510324	0.002949853	0.034292035	0.005530973	0.060103245	0.036873156	0.057522124	0.040929204	0.031342183	0.049410029	0.038348083
587	Matten-Bönigen-Iseltwald	Espace sous influence des centres urbains	N	0.027529653	0.129447943	0.07043491	0.453507102	0.044662469	0.077610192	0.015375604	0.016693513	0.023722361	0.002196515	0.095621614	0.043198126	0.974285714	0.025714286	0.070649351	0.084415584	0.340519481	0.018701299	0.02025974	0.513506494	0.486493506	0.034293948	0.253314121	0.712391931	0.034293948	0	0.037175793	0.01815562	0.081556196	0.011815562	0.104610951	0.152737752	0.060806916	0.082708934	0.020461095	0.02795389	0.008645533	0.054178674	0.039481268	0.042074928	0.059365994	0.071469741	0.049279539	0.011527378
593	Unterseen-Habkern	Espace hors influence des centres urbains	N	0.013513514	0.124290958	0.077410744	0.411244578	0.068902236	0.080580581	0.022355689	0.018518519	0.02669336	0.018018018	0.100600601	0.037871205	0.985611511	0.014388489	0.043165468	0.046209186	0.332595462	0.015495296	0.009407858	0.506917543	0.493082457	0.024912169	0.189076972	0.786010859	0.024912169	0	0.035771319	0.012456084	0.033216225	0.007665283	0.099968061	0.181092303	0.037368253	0.117534334	0.025550942	0.045033536	0.004790802	0.0772916	0.030661131	0.037048866	0.047269243	0.086553817	0.061002874	0.00990099
603	Bigenthal	Espace hors influence des centres urbains	N	0.017797553	0.14200964	0.084167594	0.395624768	0.053948832	0.10252132	0.020207638	0.014275121	0.020207638	0.001297738	0.104375232	0.043566926	0.967050047	0.032949953	0.061548026	0.068386696	0.291265154	0.009325459	0.007460367	0.544917625	0.455082375	0.083975064	0.283094976	0.63292996	0.083975064	0.002566923	0.077741107	0.00880088	0.089842318	0.00660066	0.097543088	0.153281995	0.038870554	0.04620462	0.013934727	0.045837917	0	0.037037037	0.018335167	0.066006601	0.032269894	0.065273194	0.081774844	0.014668133
